NEWID,INCLASS,FINCBTXM,iTotalExp,iFoodAtHome,iFoodAway,iHousing,otherHousing,iUtilites,iClothingAndBeauty,iTransportation,iHealthcare,iEntertainment,iMiscellaneous,iCharitableAndFamilyGiving,iInsurance,iEducation,iHousingPrinciple
2878204,10,242781.6,61133.59999999998,9360.0,1299.999999999996,6000.0,15700.0,5268.0,6760.000000000001,5119.999999999999,6477.599999999999,3348.0,0.0,1800.0,0.0,0.0,3648.0
2878684,1,16800.0,35340.0,3900.0,1820.000000000004,4800.0,2279.999999999996,5880.0,360.0,5620.0,4724.0,2196.0,0.0,2000.0,1760.0,0.0,2100.0
2922743,7,90779.2,43354.79999999999,3900.0,260.0000000000004,14076.0,9352.0,6720.0,800.0,5588.0,1678.8000000000002,980.0,0.0,0.0,0.0,0.0,3768.0
2923893,1,35898.2,31940.000000000004,8312.000000000004,672.0,9600.0,868.0,4368.0,1823.9999999999998,3024.0,0.0,3272.0,0.0,0.0,0.0,0.0,0.0
2924213,1,28257.4,40318.80000000001,8039.999999999999,2600.000000000004,5328.0,3452.0,3540.0,4060.0,5680.0,4258.799999999999,2040.0,0.0,720.0,600.0,0.0,1216.0
2925673,1,16539.0,22390.799999999992,1560.0,363.9999999999996,9000.0,1092.0000000000002,940.0,691.9999999999995,2215.9999999999995,4066.7999999999997,1524.0,936.0,0.0,0.0,0.0,0.0
2928323,2,44723.0,46886.80000000002,6500.000000000004,2600.000000000004,16248.0,1395.9999999999998,1840.0,3912.000000000001,5476.000000000002,2686.7999999999997,3028.0,1160.0,696.0,1344.0,0.0,0.0
2929443,1,30358.0,40049.59999999999,3351.9999999999964,1064.0000000000005,15000.0,2400.0,3692.0,392.0,1588.0,9597.6,564.0,0.0,2400.0,0.0,0.0,2600.0
2929843,6,85779.0,47290.79999999996,5319.999999999995,2439.9999999999964,8388.0,12951.999999999996,5324.0,360.0,4492.0,5070.799999999999,2784.0,0.0,160.0,0.0,0.0,2516.0
2931663,1,26409.4,66126.79999999999,8840.0,4500.0,15588.0,5963.999999999994,4536.0,3140.0,6400.0,8994.800000000001,5640.0,384.0,580.0,1560.0,0.0,8659.999999999996
2932223,9,158952.0,83176.0,7856.000000000004,3471.9999999999964,31080.0,8892.0,8316.0,5044.0,7820.0,3767.9999999999995,4452.0,632.0,880.0,964.0,0.0,8984.0
2932273,1,14460.0,28004.0,6240.0,780.0,10200.0,1028.0,4840.0,464.0,1936.0,140.0,2376.0,0.0,0.0,0.0,0.0,0.0
2933253,1,29486.8,46761.60000000002,8320.0,2600.000000000004,9912.0,3180.0,4160.0,1568.0,3352.0,12349.600000000002,1320.0,0.0,0.0,0.0,0.0,4032.0
2944543,1,30154.0,26117.6,5199.999999999995,156.0,6528.0,328.0,1264.0,324.0,936.0,7753.6,828.0,1800.0,1000.0,0.0,0.0,0.0
2946233,6,88714.8,38415.99999999999,10400.000000000004,160.0,10800.0,340.0,6852.0,1172.0000000000002,1640.0,4148.0,1464.0,800.0,640.0,0.0,0.0,0.0
